"stationname","month","year","aver_co","aver_o3","aver_pm10","aver_pm25","avg_temp","avg_wind"
"11Oktomvri",1.0,2019.0,,,121.77956989247312,94.56586021505376,,
"11Oktomvri",2.0,2019.0,,,55.010510510510514,44.02102102102102,,
"11Oktomvri",3.0,2019.0,,,29.636486486486486,24.855405405405406,,
"11Oktomvri",4.0,2019.0,,,13.41388888888889,11.266666666666667,,
"11Oktomvri",5.0,2019.0,,,7.708894878706199,6.412398921832884,,
"11Oktomvri",6.0,2019.0,,,9.943100995732575,8.611664295874823,,
"11Oktomvri",7.0,2018.0,,,11.81132075471698,10.723270440251572,,
"11Oktomvri",7.0,2019.0,,,10.151020408163266,8.699319727891156,,
"11Oktomvri",8.0,2018.0,,,6.759183673469388,6.093877551020408,,
"11Oktomvri",8.0,2019.0,,,10.443994601889338,9.2361673414305,,
"11Oktomvri",9.0,2018.0,,,13.511111111111111,11.693055555555556,,
"11Oktomvri",9.0,2019.0,,,11.875,10.306944444444444,,
"11Oktomvri",10.0,2018.0,,,25.751344086021504,21.99462365591398,,
"11Oktomvri",10.0,2019.0,,,27.563858695652176,23.470108695652176,,
"11Oktomvri",11.0,2018.0,,,31.868715083798882,27.76675977653631,,
"11Oktomvri",11.0,2019.0,,,25.21476510067114,21.681208053691275,,
"11Oktomvri",12.0,2018.0,,,96.25268817204301,74.54435483870968,,
Aerodrom,1.0,2019.0,,,101.96370967741936,77.65053763440861,,
Aerodrom,2.0,2019.0,,,38.72372372372372,31.37837837837838,,
Aerodrom,3.0,2019.0,,,23.3472972972973,20.15,,
Aerodrom,4.0,2019.0,,,14.602777777777778,12.420833333333333,,
Aerodrom,5.0,2019.0,,,10.018867924528301,8.80188679245283,,
Aerodrom,6.0,2019.0,,,14.795620437956204,12.532846715328468,,
Aerodrom,7.0,2018.0,,,14.257861635220126,13.0062893081761,,
Aerodrom,7.0,2019.0,,,,,,
Aerodrom,8.0,2018.0,,,8.061224489795919,7.22312925170068,,
Aerodrom,8.0,2019.0,,,,,,
Aerodrom,9.0,2018.0,,,0.0,0.0,,
Aerodrom,9.0,2019.0,,,,,,
Aerodrom,10.0,2018.0,,,0.0,0.0,,
Aerodrom,10.0,2019.0,,,,,,
Aerodrom,11.0,2018.0,,,3.5460893854748603,2.983240223463687,,
Aerodrom,11.0,2019.0,,,,,,
Aerodrom,12.0,2018.0,,,86.01881720430107,65.44086021505376,,
AerodromLuftdaten,7.0,2019.0,,,11.335958005249344,8.130193905817174,,
AerodromLuftdaten,8.0,2019.0,,,11.734138972809667,7.376132930513595,,
AerodromLuftdaten,9.0,2019.0,,,14.835575485799701,9.765321375186845,,
AerodromLuftdaten,10.0,2019.0,,,31.643741403026134,20.404401650618983,,
AerodromLuftdaten,11.0,2019.0,,,25.88560885608856,17.531365313653136,,
AsnomPulse,11.0,2019.0,,,8.702439024390245,5.21505376344086,,
Bardovci,1.0,2019.0,,,65.19623655913979,53.365591397849464,,
Bardovci,2.0,2019.0,,,30.686186186186188,24.656156156156158,,
Bardovci,3.0,2019.0,,,22.72972972972973,17.983783783783785,,
Bardovci,4.0,2019.0,,,17.25138888888889,12.947222222222223,,
Bardovci,5.0,2019.0,,,11.339622641509434,8.277628032345014,,
Bardovci,6.0,2019.0,,,15.042492917847026,10.831444759206798,,
Bardovci,7.0,2018.0,,,16.34375,13.40625,,
Bardovci,7.0,2019.0,,,15.155525238744884,10.979536152796726,,
Bardovci,8.0,2018.0,,,18.3265306122449,15.050340136054421,,
Bardovci,8.0,2019.0,,,14.658674188998589,10.973201692524682,,
Bardovci,9.0,2018.0,,,17.2125,13.91388888888889,,
Bardovci,9.0,2019.0,,,16.63230769230769,12.00153846153846,,
Bardovci,10.0,2018.0,,,28.258064516129032,22.36021505376344,,
Bardovci,10.0,2019.0,,,27.09568733153639,20.494609164420485,,
Bardovci,11.0,2018.0,,,46.220670391061454,37.01117318435754,,
Bardovci,11.0,2019.0,,,25.238255033557046,19.08053691275168,,
Bardovci,12.0,2018.0,,,56.060483870967744,45.74327956989247,,
Biser,1.0,2019.0,,,113.00403225806451,72.6747311827957,,
Biser,2.0,2019.0,,,53.03453453453454,33.486486486486484,,
Biser,3.0,2019.0,,,33.497297297297294,21.124324324324323,,
Biser,4.0,2019.0,,,19.78611111111111,11.28888888888889,,
Biser,5.0,2019.0,,,0.7641509433962265,0.46765498652291104,,
Biser,6.0,2019.0,,,19.824956672443673,11.55632582322357,,
